num,mac,mode,rssi,channel,p1,p2,p3,p4,p5,stime,etime,slocal,elocal,devicemac
39,C0:14:3D:DC:17:39,1,56,6,2052,0,0,78,0,1474954872,1474954875,1474954872,1474954875,FC:AD:0F:06:47:F0
40,C0:14:3D:DC:17:39,1,53,6,2052,0,0,87,0,1474954888,1474954891,1474954888,1474954891,FC:AD:0F:06:47:F0
41,C0:14:3D:DC:17:39,1,55,6,2052,0,0,92,0,1474954893,1474954896,1474954893,1474954896,FC:AD:0F:06:47:F0
42,C0:14:3D:DC:17:39,1,57,6,2052,0,0,94,0,1474954898,1474954901,1474954898,1474954901,FC:AD:0F:06:47:F0
43,00:95:69:98:0A:A1,1,84,6,1048578,51,0,0,0,1474954904,1474954907,1474954904,1474954907,FC:AD:0F:06:47:F0
44,00:95:69:98:0A:A1,1,84,6,1048578,21,0,0,0,1474954861,1474954864,1474954861,1474954864,FC:AD:0F:06:47:F0
45,00:95:69:98:0A:A1,1,86,6,1048578,31,0,0,0,1474954872,1474954875,1474954872,1474954875,FC:AD:0F:06:47:F0
46,00:95:69:98:0A:A1,1,87,6,1048578,33,0,0,0,1474954877,1474954880,1474954877,1474954880,FC:AD:0F:06:47:F0
47,00:95:69:98:0A:A1,1,83,6,1048578,36,0,0,0,1474954882,1474954885,1474954882,1474954885,FC:AD:0F:06:47:F0
48,00:95:69:98:0A:A1,1,85,6,1048578,45,0,0,0,1474954893,1474954896,1474954893,1474954896,FC:AD:0F:06:47:F0
49,00:95:69:98:0A:A1,1,85,6,1048578,48,0,0,0,1474954898,1474954901,1474954898,1474954901,FC:AD:0F:06:47:F0
50,68:3E:34:92:FD:FC,17,82,6,2052,4,0,29,0,1474954861,1474954864,1474954861,1474954864,FC:AD:0F:06:47:F0
51,68:3E:34:92:FD:FC,17,81,6,1048578,9,0,29,0,1474954872,1474954875,1474954872,1474954875,FC:AD:0F:06:47:F0
52,68:3E:34:92:FD:FC,17,81,6,1048642,14,0,29,0,1474954877,1474954880,1474954877,1474954880,FC:AD:0F:06:47:F0
53,00:6D:52:57:2F:8F,1,55,6,2052,0,0,153,0,1474954904,1474954907,1474954904,1474954907,FC:AD:0F:06:47:F0
54,00:6D:52:57:2F:8F,1,53,6,2052,0,0,136,0,1474954898,1474954901,1474954898,1474954901,FC:AD:0F:06:47:F0
55,00:5A:39:BD:D8:EB,1,79,6,1048578,5,0,0,0,1474954867,1474954870,1474954867,1474954870,FC:AD:0F:06:47:F0
56,DC:09:4C:FD:7B:E0,1,90,6,1048578,1,0,0,0,1474954882,1474954885,1474954882,1474954885,FC:AD:0F:06:47:F0
57,00:5A:39:CD:92:21,1,85,6,1048578,1,0,0,0,1474954882,1474954885,1474954882,1474954885,FC:AD:0F:06:47:F0
58,60:D8:19:CC:98:97,1,87,6,1048578,2,0,0,0,1474954904,1474954907,1474954904,1474954907,FC:AD:0F:06:47:F0
